pupilSize,time_in_ms,time_in_ms_corrected
2184.0,1023601.0,0.0
2184.0,1023603.0,2.0
2183.0,1023605.0,4.0
2179.0,1023607.0,6.0
2179.0,1023609.0,8.0
2181.0,1023611.0,10.0
2183.0,1023613.0,12.0
2181.0,1023615.0,14.0
2178.0,1023617.0,16.0
2178.0,1023619.0,18.0
2177.0,1023621.0,20.0
2178.0,1023623.0,22.0
2176.0,1023625.0,24.0
2174.0,1023627.0,26.0
2173.0,1023629.0,28.0
2172.0,1023631.0,30.0
2172.0,1023633.0,32.0
2172.0,1023635.0,34.0
2173.0,1023637.0,36.0
2173.0,1023639.0,38.0
2172.0,1023641.0,40.0
2173.0,1023643.0,42.0
2175.0,1023645.0,44.0
2176.0,1023647.0,46.0
2176.0,1023649.0,48.0
2175.0,1023651.0,50.0
2175.0,1023653.0,52.0
2174.0,1023655.0,54.0
2172.0,1023657.0,56.0
2170.0,1023659.0,58.0
2170.0,1023661.0,60.0
2171.0,1023663.0,62.0
2168.0,1023665.0,64.0
2164.0,1023667.0,66.0
2161.0,1023669.0,68.0
2160.0,1023671.0,70.0
2159.0,1023673.0,72.0
2164.0,1023675.0,74.0
2213.0,1023677.0,76.0
2325.0,1023679.0,78.0
2327.0,1023681.0,80.0
2362.0,1023683.0,82.0
2365.0,1023685.0,84.0
2210.0,1023687.0,86.0
1892.0,1023689.0,88.0
1732.0,1023691.0,90.0
0.0,1023693.0,92.0
0.0,1023695.0,94.0
0.0,1023697.0,96.0
0.0,1023699.0,98.0
0.0,1023701.0,100.0
0.0,1023703.0,102.0
0.0,1023705.0,104.0
0.0,1023707.0,106.0
0.0,1023709.0,108.0
0.0,1023711.0,110.0
0.0,1023713.0,112.0
0.0,1023715.0,114.0
0.0,1023717.0,116.0
0.0,1023719.0,118.0
0.0,1023721.0,120.0
0.0,1023723.0,122.0
0.0,1023725.0,124.0
0.0,1023727.0,126.0
0.0,1023729.0,128.0
0.0,1023731.0,130.0
0.0,1023733.0,132.0
0.0,1023735.0,134.0
0.0,1023737.0,136.0
0.0,1023739.0,138.0
0.0,1023741.0,140.0
0.0,1023743.0,142.0
0.0,1023745.0,144.0
0.0,1023747.0,146.0
0.0,1023749.0,148.0
0.0,1023751.0,150.0
0.0,1023753.0,152.0
0.0,1023755.0,154.0
0.0,1023757.0,156.0
0.0,1023759.0,158.0
0.0,1023761.0,160.0
0.0,1023763.0,162.0
0.0,1023765.0,164.0
0.0,1023767.0,166.0
0.0,1023769.0,168.0
0.0,1023771.0,170.0
0.0,1023773.0,172.0
0.0,1023775.0,174.0
0.0,1023777.0,176.0
0.0,1023779.0,178.0
0.0,1023781.0,180.0
0.0,1023783.0,182.0
0.0,1023785.0,184.0
0.0,1023787.0,186.0
0.0,1023789.0,188.0
0.0,1023791.0,190.0
0.0,1023793.0,192.0
0.0,1023795.0,194.0
0.0,1023797.0,196.0
0.0,1023799.0,198.0
0.0,1023801.0,200.0
0.0,1023803.0,202.0
0.0,1023805.0,204.0
0.0,1023807.0,206.0
0.0,1023809.0,208.0
0.0,1023811.0,210.0
0.0,1023813.0,212.0
0.0,1023815.0,214.0
0.0,1023817.0,216.0
0.0,1023819.0,218.0
0.0,1023821.0,220.0
0.0,1023823.0,222.0
0.0,1023825.0,224.0
0.0,1023827.0,226.0
0.0,1023829.0,228.0
0.0,1023831.0,230.0
0.0,1023833.0,232.0
0.0,1023835.0,234.0
2865.0,1023837.0,236.0
2865.0,1023839.0,238.0
2865.0,1023841.0,240.0
2666.0,1023843.0,242.0
2706.0,1023845.0,244.0
2862.0,1023847.0,246.0
2966.0,1023849.0,248.0
3075.0,1023851.0,250.0
3086.0,1023853.0,252.0
3087.0,1023855.0,254.0
3074.0,1023857.0,256.0
2977.0,1023859.0,258.0
2640.0,1023861.0,260.0
2560.0,1023863.0,262.0
2546.0,1023865.0,264.0
2535.0,1023867.0,266.0
2557.0,1023869.0,268.0
2603.0,1023871.0,270.0
2609.0,1023873.0,272.0
2607.0,1023875.0,274.0
2622.0,1023877.0,276.0
2633.0,1023879.0,278.0
2629.0,1023881.0,280.0
2628.0,1023883.0,282.0
2626.0,1023885.0,284.0
2626.0,1023887.0,286.0
2630.0,1023889.0,288.0
2650.0,1023891.0,290.0
2699.0,1023893.0,292.0
2730.0,1023895.0,294.0
2727.0,1023897.0,296.0
2735.0,1023899.0,298.0
2770.0,1023901.0,300.0
2828.0,1023903.0,302.0
2835.0,1023905.0,304.0
2777.0,1023907.0,306.0
2764.0,1023909.0,308.0
2769.0,1023911.0,310.0
2807.0,1023913.0,312.0
2792.0,1023915.0,314.0
2691.0,1023917.0,316.0
2648.0,1023919.0,318.0
2836.0,1023921.0,320.0
2862.0,1023923.0,322.0
2834.0,1023925.0,324.0
2714.0,1023927.0,326.0
2360.0,1023929.0,328.0
2147.0,1023931.0,330.0
2144.0,1023933.0,332.0
2143.0,1023935.0,334.0
2143.0,1023937.0,336.0
2142.0,1023939.0,338.0
2138.0,1023941.0,340.0
2135.0,1023943.0,342.0
2133.0,1023945.0,344.0
2131.0,1023947.0,346.0
2129.0,1023949.0,348.0
2129.0,1023951.0,350.0
2131.0,1023953.0,352.0
2135.0,1023955.0,354.0
2137.0,1023957.0,356.0
2137.0,1023959.0,358.0
2135.0,1023961.0,360.0
2135.0,1023963.0,362.0
2135.0,1023965.0,364.0
2134.0,1023967.0,366.0
2135.0,1023969.0,368.0
2133.0,1023971.0,370.0
2132.0,1023973.0,372.0
2130.0,1023975.0,374.0
2129.0,1023977.0,376.0
2127.0,1023979.0,378.0
2126.0,1023981.0,380.0
2127.0,1023983.0,382.0
2127.0,1023985.0,384.0
2128.0,1023987.0,386.0
2130.0,1023989.0,388.0
2130.0,1023991.0,390.0
2129.0,1023993.0,392.0
2129.0,1023995.0,394.0
2130.0,1023997.0,396.0
2132.0,1023999.0,398.0
2133.0,1024001.0,400.0
2132.0,1024003.0,402.0
2132.0,1024005.0,404.0
2130.0,1024007.0,406.0
2129.0,1024009.0,408.0
2130.0,1024011.0,410.0
2131.0,1024013.0,412.0
2130.0,1024015.0,414.0
2128.0,1024017.0,416.0
2129.0,1024019.0,418.0
2132.0,1024021.0,420.0
2132.0,1024023.0,422.0
2130.0,1024025.0,424.0
2130.0,1024027.0,426.0
2132.0,1024029.0,428.0
2133.0,1024031.0,430.0
2133.0,1024033.0,432.0
2133.0,1024035.0,434.0
2134.0,1024037.0,436.0
2135.0,1024039.0,438.0
2136.0,1024041.0,440.0
2134.0,1024043.0,442.0
2132.0,1024045.0,444.0
2134.0,1024047.0,446.0
2135.0,1024049.0,448.0
2135.0,1024051.0,450.0
2135.0,1024053.0,452.0
2135.0,1024055.0,454.0
2134.0,1024057.0,456.0
2131.0,1024059.0,458.0
2128.0,1024061.0,460.0
2128.0,1024063.0,462.0
2127.0,1024065.0,464.0
2128.0,1024067.0,466.0
2132.0,1024069.0,468.0
2133.0,1024071.0,470.0
2133.0,1024073.0,472.0
2133.0,1024075.0,474.0
2132.0,1024077.0,476.0
2132.0,1024079.0,478.0
2133.0,1024081.0,480.0
2134.0,1024083.0,482.0
2133.0,1024085.0,484.0
2133.0,1024087.0,486.0
2131.0,1024089.0,488.0
2130.0,1024091.0,490.0
2132.0,1024093.0,492.0
2134.0,1024095.0,494.0
2134.0,1024097.0,496.0
2134.0,1024099.0,498.0
2136.0,1024101.0,500.0
2136.0,1024103.0,502.0
2136.0,1024105.0,504.0
2135.0,1024107.0,506.0
2136.0,1024109.0,508.0
2139.0,1024111.0,510.0
2139.0,1024113.0,512.0
2138.0,1024115.0,514.0
2137.0,1024117.0,516.0
2135.0,1024119.0,518.0
2136.0,1024121.0,520.0
2136.0,1024123.0,522.0
2137.0,1024125.0,524.0
2139.0,1024127.0,526.0
2139.0,1024129.0,528.0
2138.0,1024131.0,530.0
2136.0,1024133.0,532.0
2138.0,1024135.0,534.0
2139.0,1024137.0,536.0
2139.0,1024139.0,538.0
2138.0,1024141.0,540.0
2141.0,1024143.0,542.0
2143.0,1024145.0,544.0
2140.0,1024147.0,546.0
2139.0,1024149.0,548.0
2139.0,1024151.0,550.0
2139.0,1024153.0,552.0
2142.0,1024155.0,554.0
2142.0,1024157.0,556.0
2142.0,1024159.0,558.0
2144.0,1024161.0,560.0
2145.0,1024163.0,562.0
2144.0,1024165.0,564.0
2145.0,1024167.0,566.0
2142.0,1024169.0,568.0
2141.0,1024171.0,570.0
2142.0,1024173.0,572.0
2147.0,1024175.0,574.0
2148.0,1024177.0,576.0
2144.0,1024179.0,578.0
2144.0,1024181.0,580.0
2146.0,1024183.0,582.0
2147.0,1024185.0,584.0
2148.0,1024187.0,586.0
2147.0,1024189.0,588.0
2145.0,1024191.0,590.0
2146.0,1024193.0,592.0
2149.0,1024195.0,594.0
2148.0,1024197.0,596.0
2147.0,1024199.0,598.0
2146.0,1024201.0,600.0
2146.0,1024203.0,602.0
2152.0,1024205.0,604.0
2151.0,1024207.0,606.0
2147.0,1024209.0,608.0
2146.0,1024211.0,610.0
2149.0,1024213.0,612.0
2151.0,1024215.0,614.0
2150.0,1024217.0,616.0
2150.0,1024219.0,618.0
2150.0,1024221.0,620.0
2149.0,1024223.0,622.0
2149.0,1024225.0,624.0
2150.0,1024227.0,626.0
2151.0,1024229.0,628.0
2152.0,1024231.0,630.0
2152.0,1024233.0,632.0
2151.0,1024235.0,634.0
2153.0,1024237.0,636.0
2153.0,1024239.0,638.0
2153.0,1024241.0,640.0
2152.0,1024243.0,642.0
2152.0,1024245.0,644.0
2153.0,1024247.0,646.0
2153.0,1024249.0,648.0
2153.0,1024251.0,650.0
2154.0,1024253.0,652.0
2157.0,1024255.0,654.0
2156.0,1024257.0,656.0
2154.0,1024259.0,658.0
2154.0,1024261.0,660.0
2151.0,1024263.0,662.0
2150.0,1024265.0,664.0
2151.0,1024267.0,666.0
2151.0,1024269.0,668.0
2153.0,1024271.0,670.0
2157.0,1024273.0,672.0
2159.0,1024275.0,674.0
2159.0,1024277.0,676.0
2159.0,1024279.0,678.0
2160.0,1024281.0,680.0
2159.0,1024283.0,682.0
2156.0,1024285.0,684.0
2156.0,1024287.0,686.0
2158.0,1024289.0,688.0
2158.0,1024291.0,690.0
2156.0,1024293.0,692.0
