time_in_ms,pupilSize_clean
0.0,2026.2
20.0,2017.1
40.0,2012.2
60.0,2003.9
80.0,1998.8
100.0,1994.7
120.0,1990.1
140.0,1982.6
160.0,1976.7
180.0,1970.7
200.0,1954.0
220.0,1916.1
240.0,1913.1
260.0,1907.7
280.0,1900.1
300.0,1899.0
320.0,1895.0
340.0,1892.7
360.0,1887.7
380.0,1886.1
400.0,1887.8
420.0,1888.0
440.0,1883.5
460.0,1883.2
480.0,1886.1
500.0,1886.1
520.0,1885.3
540.0,1884.6
560.0,1888.9
580.0,1888.0
600.0,1890.2
620.0,1894.1
640.0,1894.8
660.0,1896.7
680.0,1901.2
700.0,1900.4
720.0,1898.4
740.0,1907.8
760.0,874.325
780.0,495.6875
800.0,426.9375
820.0,358.1875
840.0,289.4375
860.0,246.025
880.0,577.6
900.0,1223.8
920.0,1544.7
940.0,1785.1
960.0,1894.1
980.0,1928.5
1000.0,1917.6
1020.0,1907.3
1040.0,1903.8
1060.0,1905.3
1080.0,1898.3
1100.0,1896.1
1120.0,1890.9
1140.0,1890.9
1160.0,1895.3
1180.0,1900.2
1200.0,1906.2
1220.0,1914.1
1240.0,1924.7
1260.0,1933.2
1280.0,1941.6
1300.0,1948.0
1320.0,1956.9
1340.0,1980.2
1360.0,1374.7
1380.0,544.01
1400.0,482.21000000000004
1420.0,420.41
1440.0,358.61
1460.0,296.81000000000006
1480.0,429.8
1500.0,1105.7
1520.0,1530.7
1540.0,1804.1
1560.0,1950.4
1580.0,1979.9
1600.0,1994.5
1620.0,1983.5
1640.0,1972.5
1660.0,1970.9
1680.0,1964.0
1700.0,1956.0
1720.0,1950.0
1740.0,1948.9
1760.0,1952.7
1780.0,1956.0
1800.0,1959.6
1820.0,1965.2
1840.0,1969.5
1860.0,1972.9
1880.0,1977.9
1900.0,1980.1
1920.0,1980.6
1940.0,1980.4
1960.0,1982.3
1980.0,1982.5
2000.0,1983.8
2020.0,1983.4
2040.0,1981.2
2060.0,1977.9
2080.0,1972.7
2100.0,1972.0
2120.0,1968.7
2140.0,1967.0
2160.0,1960.5
2180.0,1958.7
2200.0,1954.4
2220.0,1952.5
2240.0,1948.8
2260.0,1946.0
2280.0,1942.3
2300.0,1942.9
2320.0,1941.4
2340.0,1940.5
2360.0,1942.9
2380.0,1941.3
2400.0,1943.9
2420.0,1941.9
2440.0,1944.1
2460.0,1945.2
2480.0,1957.2
2500.0,1983.1
2520.0,1998.6
2540.0,2001.7
2560.0,2000.7
2580.0,1999.4
2600.0,1997.2
2620.0,1991.2
2640.0,1992.6
2660.0,2002.1
2680.0,2010.9
2700.0,2016.4
2720.0,2029.1
2740.0,2036.9
2760.0,2045.3
2780.0,2057.1
2800.0,2067.6
2820.0,2082.9
2840.0,2094.7
2860.0,2106.8
2880.0,2120.1
2900.0,2134.6
2920.0,2147.6
2940.0,2158.3
2960.0,2167.9
2980.0,2179.0
3000.0,2185.7
3020.0,2191.7
3040.0,2165.8
3060.0,837.7551724137932
3080.0,586.2241379310345
3100.0,592.7758620689655
3120.0,599.3275862068965
3140.0,605.8793103448277
3160.0,612.4310344827586
3180.0,680.0068965517241
3200.0,1370.7
3220.0,1809.3
3240.0,2093.5
3260.0,2154.0
3280.0,2162.7
3300.0,2147.2
3320.0,2136.5
3340.0,2133.6
3360.0,2129.0
3380.0,2121.0
3400.0,2119.3
3420.0,2123.8
3440.0,2129.5
3460.0,2139.6
3480.0,2146.3
3500.0,2157.6
3520.0,2170.4
3540.0,2183.2
3560.0,2195.4
3580.0,2210.2
3600.0,2224.9
3620.0,2237.3
3640.0,2246.8
3660.0,2256.5
3680.0,2261.6
3700.0,2269.1
3720.0,2272.5
3740.0,2274.4
3760.0,2274.0
3780.0,2270.0
3800.0,2264.1
3820.0,2254.4
3840.0,2245.0
3860.0,2229.9
3880.0,2213.6
3900.0,2201.1
3920.0,2185.3
3940.0,2166.4
3960.0,2150.9
3980.0,2135.0
4000.0,2121.2
4020.0,2108.5
4040.0,2096.2
4060.0,2083.0
4080.0,2100.4
4100.0,1560.7
4120.0,589.6295081967213
4140.0,567.110655737705
4160.0,547.1926229508197
4180.0,527.2745901639344
4200.0,507.35655737704917
4220.0,487.438524590164
4240.0,467.5204918032787
4260.0,447.6024590163935
4280.0,427.6844262295082
4300.0,407.7663934426229
4320.0,387.8483606557377
4340.0,367.9303278688525
4360.0,470.9950819672131
4380.0,1303.9
4400.0,1851.5
4420.0,2085.6
4440.0,2109.8
4460.0,2101.6
4480.0,2104.8
4500.0,2100.5
4520.0,2105.7
4540.0,2115.7
4560.0,2125.3
4580.0,2137.6
4600.0,2148.7
4620.0,2160.2
4640.0,2172.1
4660.0,2182.2
4680.0,2191.5
4700.0,2198.2
4720.0,2203.7
4740.0,2204.5
4760.0,2198.4
4780.0,2186.8
4800.0,2170.5
4820.0,2148.4
4840.0,2120.0
4860.0,2094.2
4880.0,2064.7
4900.0,2037.8
4920.0,2007.9
4940.0,1982.3
4960.0,1957.2
4980.0,1933.7
5000.0,1910.5
5020.0,1888.7
5040.0,1867.9
5060.0,1850.7
5080.0,1834.2
5100.0,1816.6
5120.0,1804.4
5140.0,1790.2
5160.0,1780.2
5180.0,1769.2
5200.0,1763.1
5220.0,1751.0
5240.0,1741.6
5260.0,1734.6
5280.0,1729.6
5300.0,1723.8
5320.0,1721.0
5340.0,1719.2
5360.0,1715.3
5380.0,1715.4
5400.0,1712.7
5420.0,1711.4
5440.0,1709.6
5460.0,1710.2
5480.0,1710.9
5500.0,1709.6
5520.0,1707.7
5540.0,1710.5
5560.0,1712.6
5580.0,1714.9
5600.0,1717.3
5620.0,1718.8
5640.0,1722.2
5660.0,1728.1
5680.0,1734.4
5700.0,1738.8
5720.0,1744.3
5740.0,1748.4
5760.0,1756.2
5780.0,1759.8
5800.0,1768.7
5820.0,1774.1
5840.0,1777.5
5860.0,1780.1
5880.0,1783.1
5900.0,1785.5
5920.0,1788.6
5940.0,1792.0
5960.0,1794.2
5980.0,1796.6
6000.0,1796.4
6020.0,1796.0
6040.0,1795.5
6060.0,1794.0
6080.0,1791.8
6100.0,1789.0
6120.0,1782.2
6140.0,1779.2
6160.0,1773.5
6180.0,1768.5
6200.0,1764.0
6220.0,1756.3
6240.0,1753.2
6260.0,1749.2
6280.0,1741.6
6300.0,1736.9
6320.0,1731.6
6340.0,1728.2
6360.0,1724.8
6380.0,1722.1
6400.0,1719.1
6420.0,1719.7
6440.0,1717.7
6460.0,1719.8
6480.0,1721.2
6500.0,1721.0
6520.0,1723.0
6540.0,1721.7
6560.0,1724.0
6580.0,1724.5
6600.0,1724.4
6620.0,1724.5
6640.0,1727.3
6660.0,1729.1
6680.0,1728.4
6700.0,1730.6
6720.0,1729.8
6740.0,1728.8
6760.0,1726.9
6780.0,1724.1
6800.0,1718.2
6820.0,1716.9
6840.0,1712.2
6860.0,1709.0
6880.0,1707.3
6900.0,1702.4
6920.0,1701.7
6940.0,1697.2
6960.0,1691.1
6980.0,1688.6
7000.0,1688.0
7020.0,1685.0
7040.0,1680.3
7060.0,1676.0
7080.0,1674.9
7100.0,1672.9
7120.0,1668.5
7140.0,1664.3
7160.0,1662.4
7180.0,1659.9
7200.0,1658.7
7220.0,1655.9
7240.0,1651.8
7260.0,1651.9
7280.0,1651.3
7300.0,1649.4
7320.0,1647.6
7340.0,1646.8
7360.0,1648.6
7380.0,1651.2
7400.0,1652.6
7420.0,1653.6
7440.0,1654.2
7460.0,1657.8
7480.0,1658.6
7500.0,1682.6
7520.0,988.3
7540.0,221.6132075471698
7560.0,225.19811320754715
7580.0,228.7830188679245
7600.0,232.3679245283019
7620.0,235.95283018867926
7640.0,277.2849056603774
7660.0,826.4
7680.0,1385.0
7700.0,1706.6
7720.0,1787.0
7740.0,1767.7
7760.0,1753.6
7780.0,1752.3
7800.0,1741.5
7820.0,1737.2
7840.0,1739.5
7860.0,1742.7
7880.0,1746.2
7900.0,1746.4
7920.0,1751.8
7940.0,1758.5
7960.0,1762.1
7980.0,1763.8
8000.0,1768.1
8020.0,1768.9
8040.0,1769.5
8060.0,1762.6
8080.0,1753.0
8100.0,1744.2
8120.0,1730.9
8140.0,1716.1
8160.0,1701.6
8180.0,1686.6
8200.0,1670.2
8220.0,1653.4
8240.0,1638.4
8260.0,1626.4
8280.0,1613.7
8300.0,1601.2
8320.0,1591.8
8340.0,1582.5
8360.0,1574.1
8380.0,1569.0
8400.0,1566.1
8420.0,1561.2
8440.0,1557.8
8460.0,1555.3
8480.0,1551.2
8500.0,1550.3
8520.0,1546.7
8540.0,1555.1
8560.0,1493.2
8580.0,438.35263157894735
8600.0,216.7456140350877
8620.0,217.62280701754383
8640.0,218.5
8660.0,219.3771929824561
8680.0,220.2543859649123
8700.0,254.44736842105263
8720.0,793.1
8740.0,1310.4
8760.0,1585.9
8780.0,1625.6
8800.0,1604.8
8820.0,1599.1
8840.0,1599.0
8860.0,1594.8
8880.0,1592.1
8900.0,1596.4
8920.0,1602.9
8940.0,1606.9
8960.0,1614.5
8980.0,1623.3
9000.0,1632.2
9020.0,1641.7
9040.0,1649.3
9060.0,1657.1
9080.0,1663.4
9100.0,1669.9
9120.0,1675.8
9140.0,1676.2
9160.0,1674.3
9180.0,1668.5
9200.0,1662.9
9220.0,1661.8
9240.0,1631.5
9260.0,533.6619047619048
9280.0,193.54761904761907
9300.0,195.61111111111111
9320.0,197.6746031746032
9340.0,199.73809523809524
9360.0,201.8015873015873
9380.0,203.8650793650794
9400.0,290.3
9420.0,886.6
9440.0,1305.7
9460.0,1525.1
9480.0,1588.6
9500.0,1562.0
9520.0,1549.3
9540.0,1544.1
9560.0,1539.5
9580.0,1534.1
9600.0,1527.6
9620.0,1525.2
9640.0,1530.5
9660.0,1531.7
9680.0,1535.1
9700.0,1543.4
9720.0,1548.8
9740.0,1558.8
9760.0,1567.9
9780.0,1576.3
9800.0,1584.7
9820.0,1593.9
9840.0,1601.9
9860.0,1610.2
9880.0,1613.6
9900.0,1615.2
9920.0,1619.4
9940.0,1624.0
9960.0,1624.5
9980.0,1625.8
10000.0,1623.2
10020.0,1620.2
10040.0,1619.3
10060.0,1615.3
10080.0,1612.7
10100.0,1610.2
10120.0,1606.5
10140.0,1601.8
10160.0,1597.7
10180.0,1592.9
10200.0,1589.5
10220.0,1585.5
10240.0,1581.2
