time_in_ms,pupilSize_clean
0,0.0
20,0.0
40,0.0
60,0.0
80,0.0
100,0.0
120,2110.2
140,2790.7
160,3048.1
180,3053.6
200,3085.9
220,2995.5
240,2969.7
260,2968.2
280,2971.2
300,2972.3
320,2943.4
340,2945.7
360,2942.4
380,2942.0
400,2945.8
420,2944.9
440,2944.9
460,2942.6
480,2941.2
500,2934.4
520,2924.1
540,2915.1
560,2900.1
580,2885.0
600,2867.2
620,2847.8
640,2823.4
660,2801.0
680,2776.7
700,2754.6
720,2728.3
740,2701.3
760,2673.4
780,2648.4
800,2623.6
820,2600.4
840,2579.5
860,2560.8
880,2540.4
900,2531.8
920,2517.8
940,2509.7
960,2500.6
980,2496.3
1000,2491.5
1020,2488.5
1040,2484.9
1060,2485.2
1080,2488.2
1100,2489.0
1120,2493.2
1140,2499.7
1160,2507.2
1180,2516.3
1200,2524.5
1220,2535.7
1240,2546.6
1260,2561.6
1280,2573.2
1300,2588.3
1320,2603.0
1340,2617.7
1360,2629.8
1380,2639.3
1400,2654.5
1420,2671.3
1440,2679.9
1460,2693.9
1480,2705.9
1500,2716.4
1520,2729.0
1540,2738.9
1560,2745.1
1580,2757.6
1600,2764.1
1620,2769.9
1640,2777.6
1660,2788.1
1680,2792.2
1700,2801.4
1720,2808.7
1740,2818.5
1760,2823.8
1780,2830.6
1800,2832.7
1820,2838.5
1840,2850.9
1860,2855.7
1880,2861.0
1900,2864.4
1920,2867.5
1940,2871.2
1960,2873.7
1980,2875.3
2000,2877.5
2020,2878.8
2040,2873.5
2060,2883.0
2080,2883.0
2100,2885.6
2120,2886.6
2140,2887.2
2160,2888.5
2180,2889.9
2200,2890.3
2220,2891.4
2240,2888.4
2260,2887.1
2280,2885.5
2300,2877.8
2320,2870.1
2340,2860.5
2360,2848.1
2380,2836.3
2400,2820.5
2420,2805.0
2440,2790.3
2460,2776.7
2480,2762.0
2500,2748.5
2520,2739.5
2540,2726.7
2560,2718.9
2580,2715.3
2600,2711.0
2620,2706.6
2640,2704.1
2660,2700.4
2680,2701.6
2700,2701.8
2720,2700.5
2740,2697.7
2760,2702.4
2780,2704.0
2800,2704.2
2820,2705.7
2840,2705.7
2860,2705.6
2880,2705.0
2900,2706.6
2920,2701.3
2940,2701.6
2960,2700.9
2980,2703.5
3000,2702.3
3020,2697.9
3040,2698.1
3060,2701.3
3080,2698.6
3100,2700.9
3120,2702.5
3140,2704.6
3160,2703.9
3180,2705.3
3200,2707.8
3220,2710.9
3240,2714.5
3260,2721.0
3280,2723.9
3300,2721.3
3320,2722.0
3340,2722.9
3360,2725.4
3380,2728.7
3400,2727.6
3420,2731.1
3440,2739.5
3460,2744.2
3480,2749.2
3500,2752.5
3520,2757.7
3540,2764.9
3560,2771.0
3580,2775.4
3600,2785.4
3620,2793.2
3640,2796.1
3660,2801.8
3680,2810.2
3700,2819.4
3720,2821.7
3740,2825.0
3760,2827.4
3780,2830.4
3800,2832.3
3820,2837.9
3840,2839.0
3860,2845.4
3880,2844.7
3900,2845.4
3920,2864.4
3940,2192.7
3960,895.470588235294
3980,1075.2794117647059
4000,1269.1029411764707
4020,1470.9970588235294
4040,2343.6
4060,2816.6
4080,2939.6
4100,2990.4
4120,3023.1
4140,3062.8
4160,3004.6
4180,2853.4
4200,2845.0
4220,2845.9
4240,2846.7
4260,2845.9
4280,2847.6
4300,2848.6
4320,2851.5
4340,2853.2
4360,2852.2
4380,2854.0
4400,2856.0
4420,2853.9
4440,2849.1
4460,2840.9
4480,2829.1
4500,2813.6
4520,2799.2
4540,2783.2
4560,2766.9
4580,2752.4
4600,2740.0
4620,2726.0
4640,2715.8
4660,2707.9
4680,2696.8
4700,2691.1
4720,2681.5
4740,2675.6
4760,2672.0
4780,2667.9
4800,2664.3
4820,2661.8
4840,2658.9
4860,2657.8
4880,2656.2
4900,2657.9
4920,2660.6
4940,2659.9
4960,2659.4
4980,2660.9
5000,2665.0
5020,2665.6
5040,2666.4
5060,2669.9
5080,2672.4
5100,2675.6
5120,2677.8
5140,2680.3
5160,2686.4
5180,2688.8
5200,2695.2
5220,2700.4
5240,2704.7
5260,2711.3
5280,2714.2
5300,2719.2
5320,2723.1
5340,2728.5
5360,2733.5
5380,2735.9
5400,2742.8
5420,2746.0
5440,2747.1
5460,2751.7
5480,2749.2
5500,2747.9
5520,2747.7
5540,2744.1
5560,2747.4
5580,2741.2
5600,2735.3
5620,2735.6
5640,2733.2
5660,2728.8
5680,2727.9
5700,2723.9
5720,2724.5
5740,2724.7
5760,2726.7
5780,2723.1
5800,2724.3
5820,2726.3
5840,2726.5
5860,2729.1
5880,2733.0
5900,2734.3
5920,2739.1
5940,2740.8
5960,2748.1
5980,2753.2
6000,2758.8
6020,2765.1
6040,2768.0
6060,2773.9
6080,2780.3
6100,2783.2
6120,2786.0
6140,2791.7
6160,2800.0
6180,2803.6
6200,2808.1
6220,2811.9
6240,2815.9
6260,2822.7
6280,2825.0
6300,2829.4
6320,2832.2
6340,2838.6
6360,2841.5
6380,2846.0
6400,2847.3
6420,2849.8
6440,2851.0
6460,2854.8
6480,2857.7
6500,2858.9
6520,2857.0
6540,2855.8
6560,2859.5
6580,2864.1
6600,2866.0
6620,2864.5
6640,2860.4
6660,2862.5
6680,2864.6
6700,2866.7
6720,2870.2
6740,2869.7
6760,2869.7
6780,2871.3
6800,2871.0
6820,2874.3
6840,2875.7
6860,2877.8
6880,2876.5
6900,2878.3
6920,2879.0
6940,2876.6
6960,2875.4
6980,2880.1
7000,2878.7
7020,2879.6
7040,2879.2
7060,2881.3
7080,2883.5
7100,2881.3
7120,2881.0
7140,2884.2
7160,2888.2
7180,2886.5
7200,2888.0
7220,2888.0
7240,2893.1
7260,2892.0
7280,2894.7
7300,2898.1
7320,2900.6
7340,2906.4
7360,2907.3
7380,2908.9
7400,2909.4
7420,2911.3
7440,2917.1
7460,2918.5
7480,2919.2
7500,2921.5
7520,2921.6
7540,2922.8
7560,2925.2
7580,2927.6
7600,2928.0
7620,2930.7
7640,2932.1
7660,2930.9
7680,2934.4
7700,2931.4
7720,2934.6
7740,2932.9
7760,2936.3
7780,2938.0
7800,2937.0
7820,2947.9
7840,2950.0
7860,2953.4
7880,2952.6
7900,2953.1
7920,2953.6
7940,2956.2
7960,2958.2
7980,2963.3
8000,2964.2
8020,2963.5
8040,2968.4
8060,2961.8
8080,2966.2
8100,2965.9
8120,2966.2
8140,2968.9
8160,2964.9
8180,2962.0
8200,2955.3
8220,2952.4
8240,2944.5
8260,2938.9
8280,2929.6
8300,2917.6
8320,2904.8
8340,2888.5
8360,2871.8
8380,2848.7
8400,2828.1
8420,2810.2
8440,2791.5
8460,2775.5
8480,2756.1
8500,2743.7
8520,2727.5
8540,2710.3
8560,2698.0
8580,2682.3
8600,2665.0
8620,2647.6
8640,2632.1
8660,2615.8
8680,2597.6
8700,2580.4
8720,2572.0
8740,2556.7
8760,2544.7
8780,2533.8
8800,2524.6
8820,2514.8
8840,2506.5
8860,2494.0
8880,2485.5
8900,2479.9
8920,2475.7
8940,2470.1
8960,2467.0
8980,2461.6
9000,2455.5
9020,2449.8
9040,2447.2
9060,2445.7
9080,2443.5
9100,2442.0
9120,2444.3
9140,2447.1
9160,2449.1
9180,2451.0
9200,2452.2
9220,2457.2
9240,2462.0
9260,2467.4
9280,2472.1
9300,2478.3
9320,2481.2
9340,2485.4
9360,2491.4
9380,2495.1
9400,2501.3
9420,2507.2
9440,2509.1
9460,2516.5
9480,2521.5
9500,2526.7
9520,2533.7
9540,2538.7
9560,2544.9
9580,2550.9
9600,2557.2
9620,2561.0
9640,2562.0
9660,2566.3
9680,2566.1
9700,2569.3
9720,2574.2
9740,2576.0
9760,2575.4
9780,2578.1
9800,2583.5
9820,2586.9
9840,2591.2
9860,2593.0
9880,2598.5
9900,2603.4
9920,2609.9
9940,2604.1
9960,2608.9
9980,2635.9
10000,1554.509090909091
10020,1030.2954545454545
10040,1167.1136363636365
10060,1303.9318181818182
10080,1440.75
10100,1856.9
10120,2649.7
10140,2777.5
10160,2840.1
10180,2768.0
10200,2628.1
10220,2611.3
10240,2604.8
10260,2600.0
10280,2600.6
10300,2601.1
10320,2600.7
10340,2603.5
10360,2600.6
10380,2602.8
10400,2603.5
10420,2605.8
10440,2606.2
10460,2611.6
10480,2609.0
10500,2607.8
10520,2604.0
10540,2602.2
10560,2594.2
10580,2589.9
10600,2578.1
10620,2571.4
